ID,Group,Prt_Exclude,Sequence,Seq_Exclude,Bag_Origin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2577,NT,n,5,n,1.0,"(1, 0.752)","(1, 0.863)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 1.0)","(0, 1.0)","(0, 0.529)","(1, 0.6940000000000001)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 1.0)","(0, 0.6809999999999999)","(0, 0.20600000000000002)","(0, 0.0)","(0, 0.0)","(0, 0.0)"
2757,NT,n,1,n,0.0,"(1, 0.698)","(0, 0.7)","(0, 0.7)","(0, 0.306)","(0, 0.272)","(0, 0.139)","(0, 0.131)","(0, 0.12)","(0, 0.152)","(0, 0.16699999999999998)","(0, 0.139)","(0, 0.135)","(0, 0.158)","(0, 0.133)","(1, 0.10099999999999999)","(0, 0.139)","(1, 0.782)","(0, 0.698)","(0, 0.687)","(0, 0.188)"
2757,NT,n,2,n,1.0,"(1, 0.649)","(1, 0.8029999999999999)","(1, 0.88)","(1, 0.895)","(1, 0.919)","(1, 0.912)","(1, 0.899)","(1, 0.912)","(1, 0.9209999999999999)","(0, 0.6659999999999999)","(0, 0.7859999999999999)","(0, 0.794)","(0, 0.18600000000000003)","(1, 0.19699999999999998)","(0, 0.081)","(0, 0.073)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)"
2757,NT,n,3,n,0.0,"(0, 0.19699999999999998)","(1, 0.31)","(0, 0.0)","(0, 0.0)","(1, 0.336)","(1, 0.392)","(1, 0.38299999999999995)","(1, 0.775)","(1, 0.7559999999999999)","(0, 0.7709999999999999)","(0, 0.7040000000000001)","(0, 0.11800000000000001)","(0, 0.22699999999999998)","(0, 0.17300000000000001)","(0, 0.0)","(1, 0.364)","(1, 0.381)","(0, 0.165)","(0, 0.203)","(0, 0.0)"
2757,NT,n,4,n,1.0,"(1, 0.85)","(1, 0.8240000000000001)","(1, 0.9059999999999999)","(1, 1.0)","(0, 0.642)","(1, 0.865)","(0, 0.653)","(1, 0.897)","(1, 0.925)","(0, 0.762)","(1, 0.8690000000000001)","(0, 0.595)","(1, 0.972)","(1, 0.934)","(1, 1.0)","(1, 1.0)","(0, 0.40700000000000003)","(1, 0.409)","(1, 0.38799999999999996)","(1, 0.39399999999999996)"
2757,NT,n,5,n,1.0,"(1, 0.777)","(1, 0.807)","(1, 0.833)","(1, 1.0)","(1, 0.998)","(0, 0.602)","(0, 0.392)","(0, 0.375)","(1, 0.405)","(1, 0.715)","(1, 0.9740000000000001)","(1, 1.0)","(1, 0.9740000000000001)","(1, 1.0)","(0, 0.6)","(0, 0.63)","(0, 0.649)","(0, 0.223)","(0, 0.026000000000000002)","(0, 0.0)"
3150,NT,n,1,n,0.0,"(1, 0.655)","(0, 0.278)","(0, 0.317)","(0, 0.435)","(0, 0.287)","(0, 0.441)","(0, 0.233)","(0, 0.595)","(0, 0.281)","(0, 0.377)","(0, 0.44299999999999995)","(0, 0.272)","(0, 0.441)","(0, 0.231)","(1, 0.625)","(0, 0.321)","(1, 0.737)","(0, 0.248)","(0, 0.40700000000000003)","(0, 0.319)"
3150,NT,n,2,n,1.0,"(1, 0.589)","(1, 0.6940000000000001)","(1, 0.647)","(1, 0.679)","(1, 0.747)","(1, 0.662)","(1, 0.602)","(1, 0.8440000000000001)","(1, 0.861)","(0, 0.141)","(0, 0.306)","(0, 0.364)","(0, 0.375)","(1, 0.7709999999999999)","(0, 0.38299999999999995)","(0, 0.396)","(0, 0.325)","(0, 0.28300000000000003)","(0, 0.34299999999999997)","(0, 0.24)"
3150,NT,n,3,n,0.0,"(0, 0.304)","(1, 0.779)","(0, 0.272)","(0, 0.242)","(1, 0.7190000000000001)","(1, 0.7)","(1, 0.728)","(1, 0.6940000000000001)","(1, 0.655)","(0, 0.33)","(0, 0.263)","(0, 0.182)","(0, 0.223)","(0, 0.263)","(0, 0.248)","(1, 0.655)","(1, 0.782)","(0, 0.332)","(0, 0.27399999999999997)","(0, 0.23600000000000002)"
3150,NT,n,4,n,1.0,"(1, 0.792)","(1, 0.743)","(1, 0.773)","(1, 0.782)","(0, 0.19899999999999998)","(1, 0.816)","(0, 0.154)","(1, 0.8140000000000001)","(1, 0.775)","(0, 0.171)","(1, 0.7859999999999999)","(0, 0.225)","(1, 0.812)","(1, 0.8370000000000001)","(1, 0.8440000000000001)","(1, 0.961)","(0, 0.069)","(1, 0.878)","(1, 0.816)","(1, 0.8909999999999999)"
