ID,Group,Prt_Exclude,Sequence,Seq_Exclude,Bag_Origin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4744,SCZ,n,2,n,0.0,"(0, 0.124)","(0, 0.107)","(0, 0.11599999999999999)","(0, 0.11599999999999999)","(1, 0.82)","(1, 0.8220000000000001)","(1, 0.818)","(0, 0.195)","(0, 0.11800000000000001)","(0, 0.109)","(0, 0.7859999999999999)","(0, 0.816)","(0, 0.161)","(0, 0.17600000000000002)","(0, 0.8420000000000001)","(1, 0.852)","(1, 0.5760000000000001)","(0, 0.764)","(0, 0.221)","(0, 0.835)"
4744,SCZ,n,3,n,1.0,"(1, 0.126)","(0, 0.111)","(0, 0.831)","(1, 0.809)","(1, 0.10300000000000001)","(1, 0.595)","(0, 0.113)","(1, 0.096)","(1, 0.7559999999999999)","(1, 0.7859999999999999)","(1, 0.321)","(0, 0.29100000000000004)","(0, 0.306)","(1, 0.293)","(1, 0.899)","(1, 0.914)","(1, 0.8140000000000001)","(1, 0.7240000000000001)","(0, 0.606)","(1, 0.21)"
4744,SCZ,n,4,n,1.0,"(1, 0.927)","(1, 0.03)","(1, 0.7070000000000001)","(1, 0.099)","(1, 0.41100000000000003)","(0, 0.385)","(0, 0.696)","(1, 0.191)","(1, 0.715)","(0, 0.31)","(0, 0.91)","(0, 0.10099999999999999)","(0, 0.9009999999999999)","(0, 0.904)","(0, 0.19699999999999998)","(0, 0.9009999999999999)","(0, 0.19899999999999998)","(0, 0.5)","(0, 0.595)","(1, 0.6)"
4744,SCZ,n,5,n,1.0,"(0, 0.188)","(1, 0.19899999999999998)","(1, 0.7879999999999999)","(1, 0.88)","(0, 0.308)","(1, 0.7020000000000001)","(0, 0.105)","(0, 0.912)","(0, 0.39399999999999996)","(1, 0.604)","(0, 0.10099999999999999)","(1, 0.899)","(0, 0.203)","(0, 0.109)","(0, 0.807)","(0, 0.096)","(0, 0.991)","(0, 0.5820000000000001)","(0, 0.298)","(0, 0.40700000000000003)"
4795,SCZ,n,1,n,1.0,"(0, 0.41100000000000003)","(0, 0.306)","(1, 0.73)","(0, 0.20600000000000002)","(1, 0.266)","(1, 0.777)","(1, 0.899)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 0.818)","(1, 0.7559999999999999)","(1, 0.863)","(1, 0.9359999999999999)","(1, 1.0)","(1, 0.972)"
4795,SCZ,n,2,n,1.0,"(1, 0.816)","(1, 1.0)","(0, 0.807)","(1, 0.9940000000000001)","(1, 0.861)","(1, 0.9590000000000001)","(1, 0.9570000000000001)","(1, 0.985)","(1, 0.9009999999999999)","(1, 1.0)","(1, 1.0)","(1, 0.991)","(1, 1.0)","(1, 1.0)","(0, 1.0)","(0, 1.0)","(0, 0.773)","(0, 0.368)","(0, 0.0)","(0, 0.0)"
4795,SCZ,n,3,n,1.0,"(1, 0.998)","(1, 1.0)","(1, 1.0)","(0, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 1.0)","(0, 0.248)","(0, 0.006)","(0, 0.0)","(0, 0.0)","(1, 0.021)","(1, 0.002)","(0, 0.19699999999999998)","(1, 0.8909999999999999)","(0, 0.107)","(0, 0.139)","(1, 0.154)"
4795,SCZ,n,4,n,1.0,"(1, 0.889)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 0.0)","(1, 1.0)","(0, 0.013000000000000001)","(0, 0.013000000000000001)","(0, 0.0)","(1, 1.0)","(0, 0.013000000000000001)","(1, 1.0)","(0, 0.0)","(0, 0.0)","(0, 0.0)","(1, 0.0)","(0, 0.026000000000000002)","(0, 0.0)","(0, 0.0)"
4795,SCZ,n,5,n,0.0,"(0, 0.0)","(0, 0.0)","(0, 0.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 0.011000000000000001)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)","(0, 0.0)","(1, 1.0)","(1, 1.0)","(1, 1.0)"
4999,SCZ,n,1,n,0.0,"(0, 0.19899999999999998)","(0, 0.8270000000000001)","(0, 0.602)","(0, 0.32799999999999996)","(0, 0.077)","(0, 0.591)","(0, 0.32299999999999995)","(0, 0.878)","(0, 0.8270000000000001)","(0, 0.31)","(1, 0.10099999999999999)","(0, 0.7170000000000001)","(0, 0.818)","(0, 0.281)","(1, 0.23800000000000002)","(1, 0.726)","(0, 0.358)","(1, 0.8390000000000001)","(1, 0.266)","(0, 0.0)"
